"timestamp","Latitude","Longitude","CH4_ppb","CH4_ppb_enh","CO2_ppm","CO_ppb","O3_ppb"
2024-07-09 20:28:35,39.99268,-105.262192,2036.5,63,433.6,9364.6,55.1
2024-07-09 20:28:36,39.99268,-105.262192,2052.9,79.3399999999999,435.21,11685.9,56.3
2024-07-09 20:28:37,39.99268,-105.262192,2058.8,85.1800000000001,435.27,14786.3,56.5
2024-07-09 20:28:38,39.99268,-105.262192,2047.5,73.8200000000002,434.96,17644.3,56.2
2024-07-09 20:28:39,39.99268,-105.262192,2036.2,62.46,435.12,20156.4,58.1
2024-07-09 20:28:40,39.99268,-105.262192,2044.2,70.4000000000001,435.88,22387.8,55.9
2024-07-09 20:28:41,39.99268,-105.262192,2052.4,78.54,436.67,18373.4,56.8
2024-07-09 20:28:42,39.99268,-105.262192,2053.6,79.6799999999998,437.73,14359.1,55.1
2024-07-09 20:28:43,39.99268,-105.262192,2051.5,77.8800000000001,438.78,11092.9,56.8
2024-07-09 20:28:44,39.99268,-105.262192,2043.3,69.7549999999999,435.47,8076,56.6
2024-07-09 20:28:45,39.992672,-105.262192,2025.4,51.95,431.01,7543.8,57.5
2024-07-09 20:28:46,39.992668,-105.262192,2013.1,39.645,432.19,9952,57.3
2024-07-09 20:28:47,39.992672,-105.262192,2044.2,70.74,438.95,12563.7,57
2024-07-09 20:28:48,39.992668,-105.262192,2075.2,101.735,444.28,15969.1,56.6
2024-07-09 20:28:49,39.992668,-105.262192,2082.8,109.33,444.85,19374.6,57.9
2024-07-09 20:28:50,39.992668,-105.262192,2085.3,111.825,445.42,21090.6,57.2
2024-07-09 20:29:23,40.026691,-105.242241,1977.3,3.79500000000007,423.69,279.9,56.4
2024-07-09 20:29:25,40.026691,-105.242241,1978.4,4.8900000000001,423.7,259,63
2024-07-09 20:29:26,40.026691,-105.242241,1977.8,4.28500000000008,423.65,274,55.9
2024-07-09 20:29:27,40.026691,-105.242241,1977.2,3.68000000000006,423.6,307.9,56.4
2024-07-09 20:29:28,40.026691,-105.242241,1976.9,3.375,423.7,342.3,56.4
2024-07-09 20:29:30,40.026691,-105.242241,1976.8,3.27000000000021,424.59,822.8,64
